Name	Lat	Lng	SiteID	State	Type	Elevation
Annie Springs	42.87007	-122.16518	1000	OR	SNTL	6010
Long Lake	58.186	-133.83217	1001	AK	SNTL	850
Point Mackenzie	61.3898	-150.02667	1002	AK	SNTL	250
Mcneil Canyon	59.74433	-151.25133	1003	AK	SNTL	1320
Ute Creek	37.61497	-105.37327	1005	CO	SNTL	10650
Lewis Peak	40.3572	-116.8647	1006	NV	SNTL	7370
Onion Park	46.91348	-110.8536	1008	MT	SNTL	7410
Stringer Creek	46.9269	-110.90198	1009	MT	SNTL	6550
Crazyman Flat	42.6381	-120.94917	1010	OR	SNTL	6180
MF Nooksack	48.82453	-121.92951	1011	WA	SNTL	4970
Swift Creek	46.1638	-122.18402	1012	WA	SNTL	4440
Temple Fork	41.793	-111.54605	1013	UT	SNTL	7406
Middle Fork Camp	39.7956	-106.0273	1014	CO	SNTL	8940
Sage Creek Basin	41.401	-107.25717	1015	WY	SNTL	7850
Long Valley	44.78835	-116.08878	1016	ID	SNTL	4890
Vacas Locas	36.02635	-106.81362	1017	NM	SNTL	9306
Arapaho Ridge	40.35098	-106.38142	1030	CO	SNTL	10960
Never Summer	40.40405	-105.95583	1031	CO	SNTL	10280
Rawah	40.7075	-106.0076	1032	CO	SNTL	9020
Zirkel	40.79488	-106.59535	1033	CO	SNTL	9340
Sierra Blanca	33.40472	-105.78722	1034	NM	SNTL	10280
Moraine	61.37727	-148.99917	1035	AK	SNTL	2100
Johnsons Camp	64.5646	-164.29257	1036	AK	SNTL	25
Nuka Glacier	59.69867	-150.70967	1037	AK	SNTL	1250
Schweitzer Saddle	48.37431	-116.63926	1038	ID	SNTL	6110
Cascade Mountain	40.283	-111.60992	1039	UT	SNTL	7774
Mccoy Park	39.60468	-106.54128	1040	CO	SNTL	9480
Beaver Ck Village	39.59917	-106.51142	1041	CO	SNTL	8500
Wild Basin	40.20105	-105.60248	1042	CO	SNTL	9560
Sentinel Butte	48.86133	-118.39843	1043	WA	SNTL	4680
Toketee Airstrip	43.22718	-122.42537	1044	OR	SNTL	3240
Crow Creek	41.2287	-105.38278	1045	WY	SNTL	8330
Cinnabar Park	41.23837	-106.23095	1046	WY	SNTL	9574
Little Snake River	41.07053	-106.94283	1047	WY	SNTL	8915
Mcknight Cabin	33.00812	-107.86975	1048	NM	SNTL	9240
Forestdale Creek	38.68245	-119.9597	1049	CA	SNTL	8017
Horse Meadow	38.83652	-119.88732	1050	CA	SNTL	8557
Burnside Lake	38.71943	-119.8942	1051	CA	SNTL	8129
Summit Meadow	38.39747	-119.53522	1052	CA	SNTL	9313
Myrtle Creek	48.72263	-116.46312	1053	ID	SNTL	3520
Farmington Lower	40.992	-111.81702	1054	UT	SNTL	6779
